Package Name,Functions,Data Safety Labels
com.dg.turbonuke.bingo.quest.summer.garden,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso","Other app performance data,Personal info"
com.dhgate.buyermob,"android.telephony.TelephonyManager.getPhoneCount,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.net.wifi.WifiInfo.getSSID,android.os.PowerManager.getCurrentThermalStatus,android.location.LocationManager.requestLocationUpdates,android.net.wifi.WifiInfo.getBSSID,android.app.ActivityManager.getRunningAppProcesses,android.location.LocationManager.getLastKnownLocation,android.os.StrictMode.getThreadPolicy","Device or other IDs,Personal info,App info and performance,Diagnostics,Location,Precise location,Approximate location,App activity"
com.diamond.painting.by.number,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getDataNetworkType,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.app.ActivityManager.getRunningTasks,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getSubscriberId,android.telephony.TelephonyManager.getDeviceId,android.telephony.TelephonyManager.getImei,android.os.Build.getSerial","Personal info,Device or other IDs,App info and performance,Other app performance data,App activity,Diagnostics"
com.diavostar.email,"android.net.wifi.WifiInfo.getSSID,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus","Device or other IDs,App activity,App info and performance,Personal info,Diagnostics"
com.dicedpixel.fishingfood,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.diet.pixsterstudio.ketodietican,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus","App activity,App info and performance,Device or other IDs,Personal info,Diagnostics"
com.different.toonme,"android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus","Personal info,Other app performance data,Diagnostics"
com.dig.deep,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace","Other app performance data,Personal info"
com.digitas.solidstarts,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,java.io.File.getUsableSpace","App activity,App info and performance,Other app performance data"
com.digitoygames.ginrummy,"android.net.wifi.WifiInfo.getMacAddress,android.net.wifi.WifiInfo.getSSID",Device or other IDs
com.dino.rolling.skyball.balance,"android.app.ActivityManager.getRunningTasks,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,android.net.wifi.WifiInfo.getBSSID,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getFreeSpace,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy","App activity,App info and performance,Personal info,Other app performance data,Device or other IDs,Diagnostics"
com.dinofun.paintbynumber.pixelgame,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.app.ActivityManager.getRunningTasks","App info and performance,Other app performance data,Diagnostics,Device or other IDs,Personal info,App activity"
com.discoverfinancial.mobile,android.location.LocationManager.getLastKnownLocation,"Precise location,Approximate location"
com.disney.wheresmywater2_goo,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Device or other IDs"
com.dmg.animalshelter,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace","App info and performance,Diagnostics,Other app performance data"
com.dmg.grand.miami.open.world.crime.ganster.paidgames,"android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningTasks,android.net.wifi.WifiInfo.getSSID,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","Device or other IDs,Personal info,App info and performance,Other app performance data,App activity,Diagnostics"
com.dmg.grand.superheroes.robot.wrestling.ring.fighting,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy","App activity,App info and performance,Personal info,Other app performance data,Diagnostics,Device or other IDs"
com.dna.evolutionrunner,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dna.solitaireapp,"android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName","Personal info,Diagnostics,Other app performance data"
com.dobrogamesdg.squid.candy.game,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy",App info and performance
com.docreader.readerdocument,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","App activity,Device or other IDs,App info and performance,Diagnostics,Personal info"
com.documentreader.documentapp.filereader,"java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace,android.os.StrictMode.getVmPolicy","App info and performance,Other app performance data,Personal info,App activity,Diagnostics,Device or other IDs"
com.docusign.ink,"android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getUsableSpace","Personal info,Other app performance data"
com.dogbytegames.offtheroad,"java.io.File.getFreeSpace,java.io.File.getTotalSpace",Other app performance data
com.dollargeneral.android,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy","App info and performance,Diagnostics"
com.dominovamos.game,"android.telephony.TelephonyManager.getAllCellInfo,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName","Location,Precise location,Personal info"
com.donkeycat.mill,"java.io.File.getTotalSpace,java.io.File.getFreeSpace",Other app performance data
com.doodle.best.glow.paint,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator","App activity,Device or other IDs"
com.doodle.master.draw.glow.art,"android.os.Build.getSerial,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.StrictMode.getVmPolicy,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getDataNetworkType,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningTasks","Device or other IDs,Personal info,App info and performance,Other app performance data,Diagnostics,App activity"
com.doordash.driverapp,android.location.LocationManager.getLastKnownLocation,Precise location
com.dopamine.dropexplode,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
com.dorotheebrondes.bounceandcollect,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.doublefs.halara,android.location.LocationManager.getLastKnownLocation,"Location,Precise location,Approximate location"
com.downloadwhatsappstatus.statussaver.videodownloader,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,App activity,Device or other IDs,Personal info"
com.dragonflow.android.orbi,android.location.LocationManager.getLastKnownLocation,"Precise location,Approximate location"
com.dramaton.dolls,"java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName","Other app performance data,Device or other IDs,Personal info"
com.dramaton.slime,"android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso","Personal info,Other app performance data"
com.dramaton.squisher,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.draw.hero,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.drawely.drawely,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","App info and performance,Other app performance data,Personal info,Diagnostics"
com.drawpuzzle.dop.drawit.justdrawit,"android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getDataNetworkType,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy","App info and performance,Device or other IDs,Personal info"
com.dream.dale,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dream_studio.animalringtones,android.telephony.TelephonyManager.getNetworkCountryIso,Personal info
com.dream_studio.birdsongsringtones,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.dreamapp.app,"android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy","App activity,App info and performance,Diagnostics"
com.dreamstudio.babysleepsounds,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.dreamstudio.lullabies,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.dressup.avatar.yoyo.doll,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.location.LocationManager.getLastKnownLocation,android.net.wifi.WifiInfo.getSSID,android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getBSSID,android.app.ActivityManager.getRunningTasks","Personal info,Device or other IDs,Location,Precise location,Approximate location,App activity"
com.dressup.doll.vlinder.anime.avatar.maker,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,android.location.LocationManager.getLastKnownLocation,android.app.ActivityManager.getRunningTasks","Personal info,Device or other IDs,App activity,Location,Precise location,Approximate location"
