Package Name,PIIS,Data Safety Labels
com.higgs.tilemaster3d,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hioscar.member,DeviceName,Device or other IDs
com.hiplay.solitaire.Fishland.free,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hiyaludo.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hmg.redcarpet.modeldressup.fashiongames,"DeviceName,BuildNumber",Device or other IDs
com.hoesd.toetins,"DeviceName,BuildNumber",Device or other IDs
com.hoj.kids.art.board.drawing.games,"DeviceName,BuildNumber",Device or other IDs
com.hole19golf.hole19.beta,"DeviceName,BuildNumber",Device or other IDs
com.hollywoodparkca.experience,"DeviceName,BuildNumber",Device or other IDs
com.homesnap,"Longitude,Latitude",Location
com.homesnap.citysnap,"Longitude,Latitude",Location
com.homeworkout.woman.muscle.sger,"DeviceName,BuildNumber",Device or other IDs
com.honbow.letsfit,"DeviceName,BuildNumber",Device or other IDs
com.honeywell.android.lyric,"DeviceName,BuildNumber",Device or other IDs
com.horoscopestars.zodiak.astroligy,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hotpotgames.brainpuzzle.global,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.house.robo.maxi.craft.game,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hp.printercontrol,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hrd.iam,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hrd.motivation,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hsv.freeadblockerbrowser,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hualai,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
com.huami.watch.hmwatchmanager,DeviceName,Device or other IDs
com.huggy.huggygame.stretch,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hulahoop.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hungrypanda.waimai,"Longitude,Latitude,DeviceName,BuildNumber,AdvertisingID","Location,Device or other IDs"
com.huntstand.core,"DeviceName,Longitude,Latitude,BuildNumber","Device or other IDs,Location"
com.hybeim.intheseom,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hyilmaz.rummy.gin,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hyilmaz.spades,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hyper.freekick,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hypercat.craftmatch,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hypercat.fnf,"DeviceName,BuildNumber",Device or other IDs
com.hypercat.fnf2,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hypercat.fnfpibby,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hypercat.fnfwaifu,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hypercat.snow,"DeviceName,BuildNumber",Device or other IDs
com.hyperfutura.clumsyknight,"DeviceName,BuildNumber",Device or other IDs
com.hyperkani.stuntcarextreme,"DeviceName,BuildNumber",Device or other IDs
com.hypermonkgames.CountandBounce,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.IcaGames.Guatoca,"DeviceName,BuildNumber",Device or other IDs
com.icandesignapp.all,"DeviceName,BuildNumber",Device or other IDs
com.icandesignapp.kitchen,"DeviceName,BuildNumber",Device or other IDs
com.iceors.colorbook.release,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.icon.changer.theme.changer.pack,"DeviceName,BuildNumber",Device or other IDs
com.iconology.comics,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.ideashower.readitlater.pro,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.idmedia.android.newsportal,"DeviceName,BuildNumber",Device or other IDs
com.idntimes.idntimes,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.idz.snakes.and.ladders.dice.board.games,"DeviceName,BuildNumber",Device or other IDs
com.ihd.waterrace,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.imbagame.shootingpool,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.imctoys.crybabiesmagictears,"DeviceName,BuildNumber",Device or other IDs
com.immediasemi.android.blink,"Google_Services_Framework_ID,BuildNumber",Device or other IDs
com.improvethenews.projecta,"DeviceName,BuildNumber",Device or other IDs
com.incyteltech.mencherz,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.indopak.ludo.online,"DeviceName,BuildNumber",Device or other IDs
com.inkr.comics,"DeviceName,BuildNumber",Device or other IDs
com.innersloth.spacemafia,"DeviceName,BuildNumber",Device or other IDs
com.instabridge.android,"DeviceName,BuildNumber,AdvertisingID,Longitude,Latitude,SSID","Device or other IDs,Location"
com.interbolt.real.lion.robot.bike.transformation,"DeviceName,BuildNumber",Device or other IDs
com.invitationmaker.lss.photomaker,"DeviceName,BuildNumber",Device or other IDs
com.ioskeyboard.usemoji,"DeviceName,BuildNumber",Device or other IDs
com.ioslauncher.launcherios,"Longitude,DeviceName,BuildNumber,Latitude","Location,Device or other IDs"
com.irobot.home,"DeviceName,BuildNumber",Device or other IDs
com.island.card,"DeviceName,BuildNumber",Device or other IDs
com.istore.bloodpressuremonitor.bpmonitor,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.ivuu,"Longitude,Latitude,Surname,Name,Email","Location,Personal info,Emails"
com.ivy.streetracing.hd,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.iz.play.animal.town.pretend.squirrel.house.kids,"DeviceName,BuildNumber",Device or other IDs
com.iz.pretend.my.play.lifestyle.city.town.life.games,"DeviceName,BuildNumber",Device or other IDs
com.jabra.moments,"DeviceName,BuildNumber",Device or other IDs
com.jasonsdeli.app,DeviceName,Device or other IDs
