Package Name,Functions,Data Safety Labels
com.unicorn.hugy.craft.fps,"java.io.File.getFreeSpace,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace","Other app performance data,Device or other IDs"
com.unicorn.superhero.run,"android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator",Device or other IDs
com.unicostudio.connect,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,android.location.LocationManager.requestLocationUpdates","Other app performance data,Personal info,Precise location"
com.UniqueGames.AsteroidMiner,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.universal.tv.remote.control.all.tv.controller,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy","Personal info,App info and performance,Diagnostics,App activity"
com.UnlockGames.BecomeaQueennn,"android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getTotalSpace,android.net.wifi.WifiInfo.getSSID","App info and performance,Diagnostics,Other app performance data,Device or other IDs,App activity"
com.untappdllc.app,android.app.ActivityManager.getRunningAppProcesses,App activity
com.upperdeck.LegendaryDXPBond,"android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy","App info and performance,Personal info"
com.ups.mobile.android,"android.accounts.AccountManager.getAccounts,android.location.LocationManager.getLastKnownLocation,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.location.LocationManager.addNmeaListener,android.telephony.TelephonyManager.getCellLocation,android.telephony.TelephonyManager.getNetworkCountryIso,android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getDataNetworkType,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy","Personal info,Location,Precise location,Approximate location,Device or other IDs,App info and performance,Diagnostics"
com.urbanclap.urbanclap,java.io.File.getUsableSpace,Other app performance data
com.urbandroid.babysleep,"android.telephony.TelephonyManager.getDeviceId,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy","Device or other IDs,App activity,App info and performance"
com.usedialpade.icaller,"android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningTasks,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy","App info and performance,App activity,Device or other IDs,Diagnostics,Personal info"
com.uzeegar.universal.smart.tv.remote.control,"android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,App activity,Device or other IDs"
com.v2r.v2rCastle,"java.io.File.getTotalSpace,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","App info and performance,Other app performance data,Device or other IDs,Personal info,App activity,Diagnostics"
com.varni.postermaker,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy",App info and performance
com.vectorunit.cobalt.googleplay,android.os.StrictMode.getThreadPolicy,App info and performance
com.VectorUpGames.TallManRun,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,App activity,Device or other IDs,Personal info"
com.veepoo.hband,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Diagnostics"
