Package Name,Functions,Data Safety Labels
pdf.document.reader,"java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.net.wifi.WifiInfo.getBSSID,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getSSID","App info and performance,Other app performance data,Diagnostics,Device or other IDs,Personal info,App activity"
pdf.document.scanner,"java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.net.wifi.WifiInfo.getBSSID,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getSSID","App info and performance,Other app performance data,Personal info,Device or other IDs,Diagnostics,App activity"
pdf.pdfreader.viewer.editor.free,"android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,android.app.ActivityManager.getRunningTasks,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,Device or other IDs,App activity,Personal info"
pdf.reader.pdfviewer.pdfeditor,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,Personal info,App activity,Device or other IDs"
pdf.scanner.scannerapp.free.pdfscanner,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
pdf.tap.scanner,"android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperatorName","Diagnostics,Personal info"
pdfreader.pdfviewer.officetool.pdfscanner,"android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,App activity,Device or other IDs"
pedometer.steptracker.calorieburner.stepcounter,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace","Other app performance data,Personal info"
photography.blackgallery.android,"android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.net.wifi.WifiInfo.getSSID,android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Personal info,Device or other IDs,Diagnostics,App activity"
piano.magic.tiles.challenge.music.free,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso","Personal info,App info and performance,Diagnostics,Other app performance data"
