Package Name,PIIS,Data Safety Labels
com.tictactoe.wintrino,"DeviceName,BuildNumber,Surname,Google_Services_Framework_ID,Name,Email","Device or other IDs,Personal info,Emails"
com.tigertext,"DeviceName,BuildNumber",Device or other IDs
com.tinybeans,"DeviceName,BuildNumber",Device or other IDs
com.tiramisu.driftmax2,"Surname,Name,Email","Personal info,Emails"
com.titan.BikeRacing.moto,"DeviceName,BuildNumber",Device or other IDs
com.titan.red.bounce.ball,"DeviceName,BuildNumber",Device or other IDs
com.tmobile.eventapp,"DeviceName,BuildNumber",Device or other IDs
com.tmobile.techphd,"DeviceName,BuildNumber",Device or other IDs
com.tocaboca.tocahairsalon4,"DeviceName,BuildNumber",Device or other IDs
com.tocaboca.tocakitchen,"DeviceName,BuildNumber",Device or other IDs
com.tocaboca.tocalifeworld,"DeviceName,BuildNumber,Surname,Name,Email","Device or other IDs,Personal info,Emails"
com.todoist,"Surname,Google_Services_Framework_ID,Name,Email,BuildNumber,DeviceName","Personal info,Device or other IDs,Emails"
com.together.SurvivalGameHost,"DeviceName,BuildNumber",Device or other IDs
com.toi.reader.activities,"DeviceName,BuildNumber",Device or other IDs
com.toomics.global.google,"DeviceName,BuildNumber",Device or other IDs
com.top.mega.ramp.car.stunt.game3d,"DeviceName,BuildNumber",Device or other IDs
com.tophatch.concepts,"Surname,Google_Services_Framework_ID,Name,Email,BuildNumber,DeviceName","Personal info,Device or other IDs,Emails"
com.topps.bunt,"DeviceName,BuildNumber",Device or other IDs
com.toucangames.downtown.gangster,"DeviceName,BuildNumber",Device or other IDs
com.touchtype.swiftkey,"DeviceName,BuildNumber",Device or other IDs
com.tplink.kasa_android,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.tplink.tether,"DeviceName,BuildNumber",Device or other IDs
com.tracfone.simplemobile.myaccount,"DeviceName,BuildNumber",Device or other IDs
com.tracfone.straighttalk.myaccount,"DeviceName,BuildNumber",Device or other IDs
com.tracfone.tracfone.myaccount,"DeviceName,BuildNumber",Device or other IDs
com.tradingview.tradingviewapp,Email,Emails
com.tradovate.pulse,"DeviceName,BuildNumber",Device or other IDs
com.traegergrills.app,"DeviceName,BuildNumber",Device or other IDs
com.train.ramp.jumping,"DeviceName,BuildNumber",Device or other IDs
com.translate.all.languages.translator.free.voice.translation,"DeviceName,BuildNumber",Device or other IDs
com.Transparent.Screen.Live.Wallpaper,"DeviceName,BuildNumber",Device or other IDs
com.transsion.phoenix,"Surname,Name,Email","Personal info,Emails"
com.trello,"DeviceName,BuildNumber",Device or other IDs
com.tritech.temperature.checker,"DeviceName,BuildNumber,Surname,Google_Services_Framework_ID,Name,Email","Device or other IDs,Personal info,Emails"
com.trochoi.petvetcare,"Surname,Name,Email","Personal info,Emails"
com.truedevelopersstudio.automatictap.autoclicker,"DeviceName,BuildNumber",Device or other IDs
com.trulia.android,"Email,Latitude,Longitude","Emails,Location"
com.trulia.android.rentals,Email,Emails
com.tsm.nj1015,"Latitude,Longitude",Location
com.tuanfadbg.controlcenterios,"DeviceName,BuildNumber",Device or other IDs
com.tutotoons.app.amycare,"DeviceName,BuildNumber",Device or other IDs
com.tutotoons.app.kikififipetfriends.free,"Surname,Name,Email","Personal info,Emails"
com.tutotoons.app.sweetbabygirlcleanup6.free,"Surname,Name,Email","Personal info,Emails"
com.tuya.smart,"DeviceName,BuildNumber",Device or other IDs
com.tuya.smartlife,"DeviceName,BuildNumber",Device or other IDs
com.tv.cast.screen.mirroring.remote.control,"DeviceName,BuildNumber",Device or other IDs
com.tvn2.app,"DeviceName,BuildNumber",Device or other IDs
com.tw.taiwanplus,"DeviceName,BuildNumber",Device or other IDs
com.twentythreeandme.app,"Surname,Name,Email","Personal info,Emails"
com.twincat.whispers,"DeviceName,BuildNumber",Device or other IDs
com.twitter.android,"DeviceName,BuildNumber",Device or other IDs
com.two31play.mahjongcity,"DeviceName,BuildNumber,Google_Services_Framework_ID,Email","Device or other IDs,Emails"
com.twoheadedshark.tco,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.uavforecast,"DeviceName,BuildNumber",Device or other IDs
com.ubercab.driver,"Latitude,Longitude",Location
com.ubercab.eats,"Latitude,Longitude",Location
com.ubisoft.dance.JustDance,"Surname,Name,Email","Personal info,Emails"
com.uefa.ucl,"DeviceName,BuildNumber",Device or other IDs
com.uken.BingoPop,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.ultimatesoftware.ultipromobile,"DeviceName,BuildNumber",Device or other IDs
com.ultra.applock,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.umosun.pianotiles,"Surname,Name,Email","Personal info,Emails"
com.unicorn.baby.care,"DeviceName,BuildNumber",Device or other IDs
com.unicorn.huggy.smasher,"DeviceName,BuildNumber",Device or other IDs
com.unicorn.hugy.craft.fps,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.unicorn.superhero.run,"DeviceName,BuildNumber",Device or other IDs
com.universal.ac.remote.control.air.conditioner,"DeviceName,BuildNumber,Surname,Email,Name","Device or other IDs,Personal info,Emails"
com.universal.tv.remote.control.all.tv.controller,"DeviceName,BuildNumber,Surname,Email,Name","Device or other IDs,Personal info,Emails"
com.UnlockGames.BecomeaQueennn,"DeviceName,BuildNumber",Device or other IDs
com.unrealgames.RacinginCar2020,Email,Emails
com.upperdeck.LegendaryDXPBond,"BuildNumber,DeviceName",Device or other IDs
com.ups.mobile.android,"DeviceName,BuildNumber",Device or other IDs
com.upwork.android.apps.main,"DeviceName,BuildNumber",Device or other IDs
com.urbanclap.urbanclap,"DeviceName,BuildNumber",Device or other IDs
com.urbandroid.babysleep,"DeviceName,BuildNumber",Device or other IDs
com.us.robot.fighting2019.ring.wrestling.games,"Surname,Name,Email","Personal info,Emails"
com.usaa.mobile.android.usaa,"DeviceName,BuildNumber",Device or other IDs
com.usedialpade.icaller,"DeviceName,BuildNumber",Device or other IDs
com.usm.catanuniverse,"DeviceName,BuildNumber,Google_Services_Framework_ID,Surname,Name,Email","Device or other IDs,Personal info,Emails"
com.uvnv.mintsim,"DeviceName,BuildNumber",Device or other IDs
com.uzeegar.universal.smart.tv.remote.control,"DeviceName,BuildNumber",Device or other IDs
com.valvesoftware.android.steam.community,"DeviceName,BuildNumber",Device or other IDs
com.varni.postermaker,"DeviceName,BuildNumber",Device or other IDs
com.VectorUpGames.TallManRun,"DeviceName,BuildNumber",Device or other IDs
com.veepoo.hband,"DeviceName,BuildNumber",Device or other IDs
com.vehicle.rto.vahan.status.information.register,"DeviceName,BuildNumber",Device or other IDs
com.verizon.messaging.vzmsgs,"DeviceName,BuildNumber",Device or other IDs
com.ves.moderncar.powerwashing.cleaning.game,"DeviceName,BuildNumber",Device or other IDs
com.vFairs.mobileApp,"DeviceName,BuildNumber",Device or other IDs
com.VibeGames.ZMachine,"DeviceName,BuildNumber",Device or other IDs
com.viewer.comicscreen,"DeviceName,BuildNumber",Device or other IDs
com.vincentb.MobControl,Email,Emails
com.vive.riderleague,"Surname,Name,Email","Personal info,Emails"
com.vividgames.right.swipes.hot.dates,Email,Emails
com.vividseats.android,"DeviceName,BuildNumber",Device or other IDs
com.vladk.pipemasters,"Surname,Name,Email","Personal info,Emails"
com.vng.g6.a.zombie,"Surname,Name,Email","Personal info,Emails"
com.vodigitalarts.rally1,"DeviceName,BuildNumber",Device or other IDs
com.volume.booster.music.equalizer.sound.speaker,"DeviceName,BuildNumber,Surname,Name,MCC+MNC,Email,Android Serial Number,IMEI","Device or other IDs,Personal info,Emails"
com.volume.dialy.fast.up,"DeviceName,BuildNumber,Surname,Name,MCC+MNC,Email,Android Serial Number,IMEI","Device or other IDs,Personal info,Emails"
com.wallet.crypto.trustapp,"DeviceName,BuildNumber",Device or other IDs
com.wanxing.basketball,"Surname,Name,Email","Personal info,Emails"
com.warden.cam,"DeviceName,BuildNumber",Device or other IDs
com.washingtonpost.android,Email,Emails
com.wastickerapps.whatsapp.stickers,"DeviceName,BuildNumber",Device or other IDs
com.watch.life,"DeviceName,BuildNumber",Device or other IDs
com.weawow,DeviceName,Device or other IDs
com.whova.event,"BuildNumber,DeviceName",Device or other IDs
com.wickr.pro,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.WildWorks.RyansTag,"DeviceName,BuildNumber",Device or other IDs
com.windyty.android,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.winrgames.solitaire,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.wireless.airportmaster,"DeviceName,BuildNumber",Device or other IDs
com.wix.admin,"DeviceName,BuildNumber",Device or other IDs
com.wix.android,"DeviceName,BuildNumber",Device or other IDs
com.wodol.dol,"DeviceName,BuildNumber",Device or other IDs
com.wombatapps.carbmanager,"DeviceName,BuildNumber",Device or other IDs
com.wondershare.famisafe,"DeviceName,BuildNumber",Device or other IDs
com.wondershare.famisafe.kids,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.wordpz.guesswords.braingame,"DeviceName,BuildNumber",Device or other IDs
com.workoutathome.slim.beautiful,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.wsandroid.suite,"DeviceName,BuildNumber,MCC+MNC",Device or other IDs
com.x.free.file.manager.app,"DeviceName,BuildNumber",Device or other IDs
com.x3m.tx4,"DeviceName,BuildNumber",Device or other IDs
com.x8bit.bitwarden,"DeviceName,BuildNumber",Device or other IDs
com.xgame.commander.io,"DeviceName,BuildNumber",Device or other IDs
com.xiaomi.smarthome,"DeviceName,BuildNumber",Device or other IDs
com.xiaomi.wearable,"DeviceName,BuildNumber",Device or other IDs
com.xoom.android.app,DeviceName,Device or other IDs
com.xtreme.energizer,DeviceName,Device or other IDs
com.yalin.babycare,"DeviceName,BuildNumber",Device or other IDs
com.yandex.browser,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.yardmastery.lawnjournal,"DeviceName,BuildNumber",Device or other IDs
com.yeedi.app,DeviceName,Device or other IDs
com.yellowbrick.raceviewer,"DeviceName,BuildNumber",Device or other IDs
com.yogaworkout.flexrun3d,"DeviceName,BuildNumber",Device or other IDs
com.yokee.piano.keyboard,"DeviceName,BuildNumber",Device or other IDs
com.youneedabudget.evergreen.app,DeviceName,Device or other IDs
com.YovoGames.babycare,DeviceName,Device or other IDs
com.YovoGames.dentist,"DeviceName,BuildNumber",Device or other IDs
com.YovoGames.hair,DeviceName,Device or other IDs
com.YsoCorp.BasketAttack,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.DinADN,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.Feelingarrow,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.FuryCars,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.MonsterSummoner,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.NinjaHands,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.SlimeSlurp,"DeviceName,BuildNumber",Device or other IDs
com.YsoCorp.StretchGuy,"DeviceName,BuildNumber",Device or other IDs
com.yy.musicfm.global,"DeviceName,BuildNumber",Device or other IDs
com.yy.solitaire.farm.tripeaks,"DeviceName,BuildNumber",Device or other IDs
com.zams.formula.racing.stunt.driving.car.games,"DeviceName,BuildNumber",Device or other IDs
com.zeptolab.ctr.ads,"DeviceName,BuildNumber,MCC+MNC",Device or other IDs
com.zhiliao.musically.livewallpaper,"DeviceName,BuildNumber",Device or other IDs
com.zhiliaoapp.musically,"DeviceName,BuildNumber",Device or other IDs
com.zigazoo.zigazoo,"DeviceName,BuildNumber",Device or other IDs
com.zillow.android.streeteasy,"DeviceName,BuildNumber,Surname,Name,Email","Device or other IDs,Personal info,Emails"
com.zipscene.mobile.sns,"DeviceName,BuildNumber",Device or other IDs
com.zyb.galaxy.attack,"DeviceName,BuildNumber",Device or other IDs
com.zymbia.carpm_mechanic,"DeviceName,BuildNumber",Device or other IDs
comme.dragondrill.minigame,"DeviceName,BuildNumber",Device or other IDs
company.coinpop.coinpop,"DeviceName,BuildNumber",Device or other IDs
cos.mos.jigsaw,"DeviceName,BuildNumber",Device or other IDs
ddidev94.fishingweather,Address,Personal info
de.casparwre.insult,"DeviceName,BuildNumber",Device or other IDs
de.myaudi.mobile.assistant,"DeviceName,BuildNumber",Device or other IDs
dk.superfilm.toothfairycameraandroid,"DeviceName,BuildNumber",Device or other IDs
dk.TrackMan.Range,"DeviceName,BuildNumber",Device or other IDs
dmw.comicworld.app,"DeviceName,BuildNumber,AdvertisingID,MCC+MNC",Device or other IDs
drawing.lessons.sketch.how.to.draw.portrait,"BuildNumber,DeviceName",Device or other IDs
droidhang.twgame.restaurant,"DeviceName,BuildNumber",Device or other IDs
dto.ee.cdl.genius,"DeviceName,BuildNumber",Device or other IDs
dto.ee.dmv.genius,"DeviceName,BuildNumber",Device or other IDs
dumbbellworkout.dumbbellapp.homeworkout,"DeviceName,BuildNumber",Device or other IDs
es.lfp.gi.main,"DeviceName,BuildNumber",Device or other IDs
es.roid.and.trovit,"BuildNumber,DeviceName",Device or other IDs
eu.smartpatient.mytherapy,"DeviceName,BuildNumber",Device or other IDs
eu.vrseeds.BabyZone,"DeviceName,BuildNumber",Device or other IDs
family.tracker.my,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
fi.twomenandadog.zombiecatchers,"DeviceName,BuildNumber",Device or other IDs
fill.up.the.frigde.organization.games,"DeviceName,BuildNumber",Device or other IDs
fm.anchor.android,"DeviceName,BuildNumber",Device or other IDs
fm.castbox.audiobook.radio.podcast,"DeviceName,BuildNumber",Device or other IDs
fnf.beat.shoot,"DeviceName,BuildNumber",Device or other IDs
fnf.mod.fridaynightfunkin,"DeviceName,BuildNumber",Device or other IDs
fonts.keyboard.fontboard.stylish,"DeviceName,BuildNumber",Device or other IDs
free.translate.all.language.translator,"DeviceName,BuildNumber",Device or other IDs
freegames.zombiesniper.deadtrigger,"DeviceName,BuildNumber",Device or other IDs
freemusic.download.musicplayer.mp3player,"DeviceName,BuildNumber",Device or other IDs
game.cards.solitaire.klondike.fish,"DeviceName,BuildNumber",Device or other IDs
game.piano.black.tiles.music,"DeviceName,BuildNumber",Device or other IDs
game.piano.travel.tiles.music,"DeviceName,BuildNumber",Device or other IDs
games.conifer.card.solitaire.klondike.free,"DeviceName,BuildNumber",Device or other IDs
ginlemon.flowerfree,"DeviceName,BuildNumber,Address","Device or other IDs,Personal info"
gmg.Dancing.Heels,"DeviceName,BuildNumber",Device or other IDs
group.flowbird.mpp,"DeviceName,BuildNumber",Device or other IDs
guru.fan.midsummerscream,"DeviceName,BuildNumber",Device or other IDs
heartratemonitor.heartrate.pulse.pulseapp,"DeviceName,BuildNumber",Device or other IDs
hk.aceplaying.defender,"AdvertisingID,DeviceName,BuildNumber,MCC+MNC",Device or other IDs
holamusic.smartmusic.musicplayer,"DeviceName,BuildNumber",Device or other IDs
homeworkout.homeworkouts.noequipment,"DeviceName,BuildNumber",Device or other IDs
im.thebot.messenger,"DeviceName,BuildNumber",Device or other IDs
imagetopdf.pdfconverter.jpgtopdf.pdfeditor,"DeviceName,BuildNumber",Device or other IDs
in.mylo.pregnancy.baby.app,"DeviceName,BuildNumber",Device or other IDs
in.sweatco.app,"DeviceName,BuildNumber",Device or other IDs
increaseheightworkout.heightincreaseexercise.tallerexercise,"DeviceName,BuildNumber",Device or other IDs
info.androidz.horoscope,"DeviceName,BuildNumber",Device or other IDs
invaders.os.galaxy.space.shooter.attack.classic,"DeviceName,BuildNumber",Device or other IDs
io.comico,"DeviceName,BuildNumber",Device or other IDs
io.faceter.faceter,"DeviceName,BuildNumber",Device or other IDs
io.metamask,"DeviceName,BuildNumber",Device or other IDs
io.olibra.bondapp,"DeviceName,BuildNumber",Device or other IDs
io.wifimap.wifimap,"DeviceName,BuildNumber",Device or other IDs
io.xennex.gamenight,"DeviceName,BuildNumber",Device or other IDs
ipnossoft.rma.free,"DeviceName,BuildNumber",Device or other IDs
ir.mci.ecareapp,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
ir.rightel.myrightel,"BuildNumber,Google_Services_Framework_ID",Device or other IDs
ir.torob,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
iSurvey.Android,"DeviceName,BuildNumber",Device or other IDs
it.sharklab.rogueadventure,"DeviceName,BuildNumber",Device or other IDs
jbl.stc.com,"DeviceName,BuildNumber",Device or other IDs
je.fit,"DeviceName,Latitude,Longitude,BuildNumber","Device or other IDs,Location"
jigsaw.puzzle.free.games,"DeviceName,BuildNumber",Device or other IDs
jigsaw.puzzle.game.banana,"BuildNumber,DeviceName",Device or other IDs
jp.co.celsys.clipstudiopaint.googleplay,"DeviceName,BuildNumber",Device or other IDs
jp.co.dwango.HcgDW007SandwichRun,"Surname,Name,Email","Personal info,Emails"
jp.co.goodroid.hyper.ant,"DeviceName,BuildNumber",Device or other IDs
jp.co.goodroid.hyper.snow,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
jp.co.ofcr.cm00,"DeviceName,BuildNumber",Device or other IDs
jp.co.pointzero.cashdozerusd,"DeviceName,BuildNumber",Device or other IDs
jp.co.shueisha.mangaplus,"DeviceName,BuildNumber",Device or other IDs
kika.emoji.keyboard.teclados.clavier,"DeviceName,BuildNumber",Device or other IDs
kjv.bible.kingjamesbible,"DeviceName,BuildNumber",Device or other IDs
kr.co.alohacorp.BlasttheGiant,"DeviceName,BuildNumber",Device or other IDs
kr.co.alohacorp.monsterhouse,"DeviceName,BuildNumber",Device or other IDs
kynguyen.app.mirror,"DeviceName,BuildNumber",Device or other IDs
kz.sirius.kidssecurity,"DeviceName,BuildNumber",Device or other IDs
life.stroller.preggers,"DeviceName,BuildNumber",Device or other IDs
linkdesks.classic.solitaire.klondike,"DeviceName,BuildNumber",Device or other IDs
live.wallpaper.livephoto.pic.picture.dope.anime.cool,"BuildNumber,DeviceName",Device or other IDs
live.weather.vitality.studio.forecast.widget,"DeviceName,BuildNumber",Device or other IDs
losebellyfat.flatstomach.absworkout.fatburning,"DeviceName,BuildNumber",Device or other IDs
loseweight.weightloss.workout.fitness,"DeviceName,BuildNumber",Device or other IDs
love.mellow,"DeviceName,BuildNumber",Device or other IDs
