FUNCTIONS,,LABELLER A,LABELLER B,FULL MATCH,PARTIAL MATCH,CONTRADICTION,DISAGREEMENT,FINAL
android.os.Debug.getRuntimeStat,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.health.HealthStats.getMeasurement,,"App info and performance, Diagnostics",none,0,,1,,"App info and performance, Diagnostics"
android.os.health.HealthStats.getStats,,"App info and performance, Diagnostics",none,0,,1,,"App info and performance, Diagnostics"
android.os.PowerManager$WakeLock.acquire,,none,none,1,,,,
android.os.PowerManager$WakeLock.release,,none,none,1,,,,
android.os.PowerManager.getCurrentThermalStatus,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.StrictMode.getThreadPolicy,,"App info and performance, Diagnostics",App info and performance,0,1,,,App info and performance
android.os.StrictMode.getVmPolicy,,"App info and performance, Diagnostics",App info and performance,0,1,,,App info and performance
android.os.SystemVibrator.cancel,,none,none,1,,,,
android.os.SystemVibrator.vibrate,,none,none,1,,,,
android.os.UserManager.getProfileIds,,"Personal info, User IDs",none,0,,1,,
android.os.UserManager.getUserRestrictions,,none,none,1,,,,
android.os.UserManager.hasUserRestrictionForUser,,none,none,1,,,,
android.os.UserManager.isManagedProfile,,none,none,1,,,,
android.os.UserManager.isProfile,,none,none,1,,,,
android.os.UserManager.isUserRunning,,none,none,1,,,,
android.os.UserManager.isUserUnlocked,,none,none,1,,,,
android.os.UserManager.isUserUnlockingOrUnlocked,,none,none,1,,,,
android.provider.DeviceConfig.getBoolean,,none,none,1,,,,
android.provider.DeviceConfig.getInt,,none,none,1,,,,
android.provider.DeviceConfig.getLong,,none,none,1,,,,
android.provider.Settings$Config.getStrings,,Device or other IDs,none,0,,1,,
android.provider.Settings$Secure.getString,,Device or other IDs,none,0,,1,,
android.provider.Settings$System.putString,,none,none,1,,,,
android.provider.Settings.canDrawOverlays,,none,none,1,,,,
android.provider.Settings.Secure.getString,,Device or other IDs,none,0,,1,,
android.speech.tts.TextToSpeech.getAvailableLanguages,,none,none,1,,,,
android.speech.tts.TextToSpeech.getDefaultVoice,,none,none,1,,,,
android.speech.tts.TextToSpeech.getVoice,,none,none,1,,,,
android.speech.tts.TextToSpeech.getVoices,,none,none,1,,,,
android.speech.tts.TextToSpeech.isLanguageAvailable,,none,none,1,,,,
android.speech.tts.TextToSpeech.setLanguage,,none,none,1,,,,
android.speech.tts.TextToSpeech.setVoice,,none,none,1,,,,
android.speech.tts.TextToSpeech.shutdown,,none,none,1,,,,
android.speech.tts.TextToSpeech.speak,,"App activity, Other actions",none,0,,1,,
android.speech.tts.TextToSpeech.stop,,"App activity, Other actions",none,0,,1,,
android.telecom.TelecomManager.getCallCapablePhoneAccounts,,Contacts,Contacts,1,,,,Personal info
android.telecom.TelecomManager.getCallState,,none,none,1,,,,
android.telecom.TelecomManager.getDefaultDialerPackage,,none,none,1,,,,
android.telecom.TelecomManager.getDefaultOutgoingPhoneAccount,,Contacts,Personal info,0,,,1,Contacts
android.telecom.TelecomManager.isInCall,,none,none,1,,,,
android.telecom.TelecomManager.isVoiceMailNumber,,none,Personal info,0,,1,,"Personal info, Phone number"
android.telephony.ims.ProvisioningManager.isRcsVolteSingleRegistrationCapable,,none,none,1,,,,
android.telephony.PhoneNumberUtils.isVoiceMailNumber,,none,Personal info,0,,1,,"Personal info, Phone number"
android.telephony.PhoneStateListener.onCallStateChanged,,none,none,1,,,,
android.telephony.PhoneStateListener.onCellInfoChanged,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.telephony.PhoneStateListener.onCellLocationChanged,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.telephony.SubscriptionInfo.getIccId,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.SubscriptionManager.getActiveSubscriptionInfo,,Personal info,Personal info,1,,,,Personal info
android.telephony.SubscriptionManager.getActiveSubscriptionInfoCount,,none,none,1,,,,
android.telephony.SubscriptionManager.getActiveSubscriptionInfoForSimSlotIndex,,Personal info,Personal info,1,,,,Personal info
android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,,Personal info,Personal info,1,,,,Personal info
android.telephony.TelephonyManager.checkCarrierPrivilegesForPackage,,none,none,1,,,,
android.telephony.TelephonyManager.getAllCellInfo,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.telephony.TelephonyManager.getCallState,,none,none,1,,,,
android.telephony.TelephonyManager.getCallStateForSubscription,,none,none,1,,,,
android.telephony.TelephonyManager.getCardIdForDefaultEuicc,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getCellLocation,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.telephony.TelephonyManager.getDataNetworkType,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getDeviceId,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getDeviceSoftwareVersion,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getGroupIdLevel1,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getImei,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getLine1Number,,"Personal info, Phone number",Personal info,0,1,,,"Personal info, Phone number"
android.telephony.TelephonyManager.getMeid,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getNeighboringCellInfo,,"Location, Approximate location","Location, Approximate location",1,,,,"Location, Approximate location"
android.telephony.TelephonyManager.getNetworkCountryIso,,none,Location,0,,1,,Personal info
android.telephony.TelephonyManager.getNetworkOperator,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getNetworkOperatorName,,none,Device or other IDs,0,,1,,Personal info
android.telephony.TelephonyManager.getNetworkType,,Device or other IDs,none,0,,1,,
android.telephony.TelephonyManager.getPhoneCount,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getServiceState,,"Location, Approximate location","Location, Approximate location",1,,,,"Location, Approximate location"
android.telephony.TelephonyManager.getSimSerialNumber,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getSimSpecificCarrierId,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getSimState,,none,none,1,,,,
android.telephony.TelephonyManager.getSubscriberId,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.getVisualVoicemailPackageName,,"App activity, Installed apps","App activity, Installed apps",1,,,,App activity
android.telephony.TelephonyManager.getVoiceMailNumber,,none,Personal info,0,,1,,"Personal info, Phone number"
android.telephony.TelephonyManager.getVoiceNetworkType,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.telephony.TelephonyManager.isDataEnabled,,none,none,1,,,,
android.telephony.TelephonyManager.isDataEnabledForReason,,none,none,1,,,,
android.telephony.TelephonyManager.isDataRoamingEnabled,,none,none,1,,,,
android.telephony.TelephonyManager.listen,,none,none,1,,,,
android.telephony.TelephonyManager.requestCellInfoUpdate,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.view.Window.setHideOverlayWindows,,none,none,1,,,,
android.widget.VideoView.pause,,none,none,1,,,,
android.widget.VideoView.resume,,none,none,1,,,,
android.widget.VideoView.setVideoPath,,none,none,1,,,,
android.widget.VideoView.setVideoURI,,none,none,1,,,,
android.widget.VideoView.start,,none,none,1,,,,
android.widget.VideoView.stopPlayback,,none,none,1,,,,
android.widget.VideoView.suspend,,none,none,1,,,,
java.io.File.getFreeSpace,,"App info and performance, Other app performance data","App info and performance, Other app performance data",1,,,,"App info and performance, Other app performance data"
java.io.File.getTotalSpace,,"App info and performance, Other app performance data","App info and performance, Other app performance data",1,,,,"App info and performance, Other app performance data"
java.io.File.getUsableSpace,,"App info and performance, Other app performance data","App info and performance, Other app performance data",1,,,,"App info and performance, Other app performance data"
java.lang.ProcessBuilder.environment,,"App info and performance, Other app performance data",none,0,,1,,
java.lang.System.clearProperty,,"App info and performance, Other app performance data",none,0,,1,,
java.lang.System.getenv,,"App info and performance, Other app performance data",none,0,,1,,
java.lang.System.setProperty,,"App info and performance, Other app performance data",none,0,,1,,
java.net.Authenticator.setDefault,,none,none,1,,,,
java.net.CookieHandler.getDefault,,Web browsing,Web browsing,1,,,,
java.net.CookieHandler.setDefault,,Web browsing,Web browsing,1,,,,
java.net.NetworkInterface.getHardwareAddress,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
java.net.ProxySelector.getDefault,,Web browsing,Web browsing,1,,,,
java.net.ProxySelector.setDefault,,Web browsing,none,0,,1,,
java.net.ResponseCache.getDefault,,Web browsing,Web browsing,1,,,,
java.net.ResponseCache.setDefault,,Web browsing,none,0,,1,,
java.security.Security.getProperty,,Device or other IDs,none,0,,1,,
java.util.Locale.setDefault,,none,none,1,,,,
java.util.logging.Handler.setEncoding,,none,none,1,,,,
java.util.logging.Handler.setErrorManager,,none,none,1,,,,
java.util.logging.Handler.setFilter,,none,none,1,,,,
java.util.logging.Handler.setFormatter,,none,none,1,,,,
java.util.logging.Handler.setLevel,,none,none,1,,,,
java.util.logging.Logger.addHandler,,none,none,1,,,,
java.util.logging.Logger.removeHandler,,none,none,1,,,,
java.util.logging.Logger.setLevel,,none,none,1,,,,
java.util.logging.Logger.setParent,,none,none,1,,,,
java.util.logging.Logger.setUseParentHandlers,,none,none,1,,,,
java.util.logging.LogManager.readConfiguration,,Device or other IDs,none,0,,1,,
java.util.logging.LogManager.reset,,none,none,1,,,,
java.util.TimeZone.setDefault,,none,none,1,,,,
java.util.UUID.randomUUID,,none,none,1,,,,
javax.net.ssl.HttpsURLConnection.setDefaultHostnameVerifier,,none,none,1,,,,
javax.net.ssl.SSLContext.setDefault,,none,none,1,,,,
sun.nio.fs.UnixFileSystemProvider.readSymbolicLink,,none,none,1,,,,
android.app.job.JobInfo$Builder.setPersisted,,none,none,1,,,,
android.bluetooth.BluetoothAdapter.startLeScan,,none,none,1,,,,
android.bluetooth.BluetoothAdapter.stopLeScan,,none,none,1,,,,
android.location.LocationManager.getProviders,,none,none,1,,,,
android.location.LocationManager.sendExtraCommand,,none,none,1,,,,
android.os.health.HealthStats.getDataType,,none,none,1,,,,
android.speech.tts.TextToSpeech.getDefaultLanguage,,none,none,1,,,,
android.speech.tts.TextToSpeech.synthesizeToFile,,none,none,1,,,,
android.telephony.PhoneStateListener.onDisplayInfoChanged,,none,none,1,,,,
android.telephony.TelephonyManager.getEquivalentHomePlmns,,none,Device or other IDs,0,,1,,
android.telephony.TelephonyManager.getSubscriptionId,,none,Device or other IDs,0,,1,,
android.telephony.TelephonyManager.isDataConnectionAllowed,,none,none,1,,,,
java.util.prefs.Preferences.userRoot,,none,none,1,,,,
,,,,242,8,44,1,94
